NAME 	ADDRESS	PHONE	menu	DESCRIPTION
CHABA THAI	5810 NE SANDY	(503) 719-6917	http://www.chabathaipdx.com/menu.html	MANY VEGETARIAN OPTIONS. UNKNOWN IF VEGAN IS POSSIBLE. 
CHARLIE'S DELI	22 NW 4TH	(503) 902-9428	https://drive.google.com/file/d/0BzzG52qENWP4b01BYlVXb25mbGs/view	POTATO SALAD AND SEASONED TOFU
 CHEF NAOKO	1237 SW JEFFERSON	503) 227-4136	http://www.chefnaoko.com/restaurant/	VEGAN OPTIONS MARKED (VEGAN)
CHEN'S EXPRESS	5230 NE SANDY	(503) 555-1212	https://www.facebook.com/ChensExpress/menu?ref=page_internal	DOESN'T SPECIFICALLY SAY, BUT VEGAN OPTIONS ARE VERY LIKELY
				
CHURCH	2600 NE SANDY		http://churchbarpdx.wpengine.com/wp-content/uploads/2016/07/CHRCH_June_Update_2016_V1-2.pdf	VEGAN OPTIONS MARKED (V)
				
CONQUISTADOR LOUNGE	2045 SE BELMONT		https://www.zomato.com/portland/the-conquistador-buckman/menu	veganizable
COSTELLO'S TRAVEL CAFFE	2222 NE BROADWAY		http://www.costellostravelcaffe.com/images/menus/2015-spring.pdf?page=menus	VEGAN OPTIONS MARKED (VEGAN)
				
				
				SALAD BAR. HAHA
CRUSH  BAR	1400 SE MORRISON		http://www.crushbar.com/food-menu.html	VEGAN OPTIONS MARKED (V)
CRUZ ROOM	2338 NE ALBERTA		http://cruzroom.com	VEGAN OPTIONS MARKED (VEGAN)
				
DAIRY HILL ICE CREAM	6352 SW CAPITOL		http://dairyhillicecream.com/menu/	VEGAN OPTIONS MARKED (VEGAN)
DAR SALAM	2921 NE ALBERTA		https://www.yelp.com/menu/darsalam-portland/appetizers	VEGAN OPTIONS IN MENU DESCRIPTIONS
DAVE'S KILLER BREAD	5209 SE INTERNATIONAL			ALMOST ALL BREAD IS VEGAN
DC VEGETARIAN	430 SW 3RD		http://dcvegetarian.com/menu/	ALL ITEMS CAN BE PREPARED VEGAN
				
				
				
DESI PDX	1477 NE ALBERTA		http://www.desipdx.com/menu/	VEGAN OPTIONS CLEARLY MARKED ON MENU
				
DEVIN'S DIVE	1112 SE TACOMA		http://www.devinsdivepdx.com/menu.html	ALL VEGAN FOOD CART
DICK'S KITCHEN	3312 SE BELMONT		http://www.dickskitchen.com	SURPRISING AMOUNT OF VEGAN OPTIONS, MARKED OR OTHERWISE
DICK'S KITCHEN	704 NW 21ST AGE		http://www.dickskitchen.com	SURPRISING AMOUNT OF VEGAN OPTIONS, MARKED OR OTHERWISE
DIG A PONY	736 SE GRAND		http://digaponyportland.com/menu/	DISHES CAN BE PREPARED VEGAN UPON REQUEST
				
DONNIE VEGAS	1203 NE ALBERTA		http://donnie.vegas	FIELD ROAST DOGS AVAILABLE UPON REQUEST
DOT'S CAFE	2521 SE CLINTON		http://www.dotscafeportland.com	VEGAN OPTIONS MARKED AS SUCH ON MENU
DOUBLE DRAGON	1235 SE DIVISION		http://www.doubledragonpdx.com/food.html	VEGAN OPTIONS MARKED (V)
				
DOVE VIVI	2727 NE GLISAN		http://www.dovevivipizza.com	TWO VEGAN PIZZAS ON MENU
DOWN TO EARTH	7828 SW 35TH		http://www.downtoearthcafe.com/day_menu.htm	VEGAN OPTIONS MARKED (VEGAN)
DUSK TILL DAWN	8445 SE MCLOUGHLIN		http://www.dusktildawn.club/wp-content/uploads/2016/02/Dusk-Til-Dawn-Menu-1.pdf	VEGAN STRIP CLUB WITH FULL MENU
DWARAKA PDX	3962 SE HAWTHORNE		http://www.dwarakapdx.com/menu.html	MANY VEGETARIAN OPTIONS THAT LIKELY CAN BE MADE VEGAN
E-SAN THAI	2764 NW THURMAN		http://esanthai.com/menu/	DOESN'T SAY EXPLICITLY, BUT IT IS LIKELY THAT SOME OF THE ITEMS ON THE MENU ARE VEGAN (SALAD ROLLS, SOME CURRIES, ETC.)
EARTH BURGERS FOOD CART	2880 SE DIVISION		http://www.earthburgerspdx.com/menu/	VEGAN FOOD CART
EAST BURN	1800 E BURNSIDE		http://eastburn.pagecloud.com/#FOODANCHOR	POSSIBLE VEGAN OPTIONS (VERY CONFUSING ABOUT IT ON THEIR MENU)
EAST GLISAN PIZZA	8001 NE GLISAN		http://www.eastglisan.com/menu/	A LOT OF VEGAN OPTIONS, CLEARLY MARKED ON MENU
				
				
EAST SIDE DELI	4626 SE HAWTHORNE		http://pdxdeli.com/#menus	FULL VEGETARIAN/VEGAN MENU
EAT WELL FOOD CART	2880 SE DIVISION		http://www.eatwellpdx.net/menu.html	LIKELY ABLE TO BE MADE VEGAN
EAT PIZZA	2037 SW MORRISON		http://eatpizzaportland.com/wp-content/uploads/2015/08/2016.4.8_Eat_Pizza_Portland_Menu.pdf	ANY PIZZA CAN BE MADE VEGAN
EB AND BEAN FROZEN YOGURT	1425 NE BROADWAY		http://www.ebandbean.com/menu/	VEGAN ICE CREAM
				
EL CUBO DE CUBA	3106 SE HAWTHORNE		http://places.singleplatform.com/el-cubo-de-cuba/menu?ref=google	VEGAN OPTIONS
				
EL GALLO TAQUERIA	4422 SE WOODSTOCK		https://elgallopdx.com/menu/	VEGAN OPTIONS
				
EL NUTRI TACO	2124 NE ALBERTA		http://www.elnutritacopdx.com	LOTS OF VEGAN OPTIONS
EMAME'S ETHIOPIAN			http://www.menupix.com/menudirectory/menu.php?id=250930406	VEGAN OPTIONS
ENAT KITCHEN	300 N KILLINGSWORTH		http://www.menupix.com/menudirectory/menu.php?id=250930406	VEGETARIAN OPTIONS CAN POSSIBLY BE MADE VEGAN
ENJONI CAFE	910 N KILLINGSWORTH		http://www.enjonicafe.com/menu.html	VEGAN OPTIONS
EPIF	404 NE 28TH		http://media.wix.com/ugd/c51cdd_5332eabeb9b44766b7a8e9fe705bb6df.pdf	VEGAN OPTIONS
ESSENTIAL JUICE AND SMOOTHIES	1122 SE TACOMA		https://squareup.com/market/essential-juices-and-smoothies/	VEGAN OPTIONS
FALAFEL HOUSE	7316 N LOMBARD		http://www.falafelhousepdx.com/menu.html	VEGAN OPTIONS
FARM SPIRIT	1414 SE MORRISON		http://farmspiritpdx.com/menu-3/	VEGAN RESTAURANT
				
				
FILLMORE	7201 NE GLISAN		http://fillmorepdx.com/food/	VEGAN OPTIONS
FIRE ON THE MOUNTAIN	3443 NE 57TH 		http://static1.squarespace.com/static/563cbfd9e4b0b371c83feb6c/t/578d3d86893fc0418327c5ff/1468874118895/FremontToGoFoSho71816.pdf	VEGAN DRUMSTICKS
THE FIXIN'	8218 N LOMBARD		menu not available	VEGAN OPTIONS
FLAPJAK	4220 N MISSISSIPPI		http://flapjakpdx.com/menu.pdf	VEGAN OPTIONS
FLAVOR SPOT	2310 N LOMBARD		http://www.allmenus.com/or/portland/275378-flavour-spot/menu/	VEGAN OPTIONS
FORD FOOD AND DRINK	2505 SE 11TH		http://www.fordfoodanddrink.com/wp-content/uploads/2014/06/ffd-menu-revision-March-2014.pdf	VEGAN OPTIONS
FRESHII	2845 SW MORRISON		https://www.freshii.com/us/menu	VEGAN OPTIONS
				
				
				
FUEL CAFE	1452 NE ALBERTA		http://www.fuelpdx.com/brunch/	VEGAN OPTIONS
GARDEN BAR	2045 SE DIVISION		http://www.gardenbarpdx.com/menu/	VEGAN OPTIONS
GENIE'S CAFE	1101 SE DIVISION		http://geniesdivision.com/breakfast.php	VEGAN OPTIONS
GLADSTONE STREET PIZZA	3813 SE GLADSTONE		http://gladstonepizza.com/menu/	VEGAN OPTIONS
GLUTEN FREE GEM	265 N HANCOCK		http://www.glutenfreegem.com	VEGAN OPTIONS
GO CART	510 SE MARTIN LUTHER KING		http://www.foodcartsportland.com/2014/06/27/go-cart/	SMOOTHIES
				
				
GOOD FOOT	2845 SE STARK		http://thegoodfoot.com/menu/	VEGAN OPTIONS
GRAB A GYRO	9055 SW BARBUR		http://gograbagyro.com/index.php/menu/	VEGAN OPTIONS
				
				
GREEN LEAF JUICING COMPANY	213 SE 12TH		http://greenleafjuice.com/menu/	VEGAN OPTIONS, IF NOT ENTIRELY VEGAN
GREEN LEAF JUICING COMPANY	SW MOODY		http://greenleafjuice.com/menu/	VEGAN OPTIONS, IF NOT ENTIRELY VEGAN
GRILLED CHEESE GRILL	1027 NE Alberta St		http://grilledcheesegrill.com	VEGAN OPTIONS
GROUND CONTROL	511 NW COUCH		http://groundkontrol.com/wordpress/wp-content/uploads/2014/04/Full-Food-Menu-4-2015-1.pdf	VEGAN OPTIONS
GUERO CART	113 SE 28TH			VEGAN OPTIONS
HABIBI LEBANESE	1012 SW MORRISON		http://habibirestaurantpdx.com/menu.html	VEGAN OPTIONS
HAIL SEITAN	3620 SE 35TH		http://www.hailseitanpdx.com/docs/menu.pdf	VEGAN RESTAURANT
HAMMY'S PIZZA	2114 SE CLINTON		http://www.hammyspizza.com/menu.html	VEGAN OPTIONS
				
HANOI KITCHEN	7925 NE GLISAN		https://www.zomato.com/portland/hanoi-kitchen-northeast/menu#tabtop	VEGAN OPTIONS
HAPA PDX	2872 SE DIVISION		http://hapapdx.com/menu/	POSSIBLE VEGAN OPTIONS
HAPPY SPARROW 	3001 SE BELMONT		http://www.happysparrowcafe.com/Menu.html	VEGAN OPTIONS
HARLOW	3632 SE HAWTHORNE		http://www.harlowpdx.com/#!test2/c1s7s	ALMOST ALL VEGAN
HARVEST AT THE BINDERY	3013 NE SANDY		http://harvestatthebindery.com/index.html	VEGAN RESTAURANT
HASH IT OUT	4233 N MISSISSIPPI		https://www.facebook.com/Hashitoutpdx/menu?ref=page_internal	VEGAN OPTIONS
HAZEL ROOM	3279 SE HAWTHORNE		http://places.singleplatform.com/the-hazel-room/menu?ref=google	VEGAN OPTIONS
				
HIGH WATER MARK LOUNGE	9800 NE MARTIN LUTHER KING		n/a	VEGAN OPTIONS
THE HILT	1934 NE ALBERTA		http://www.thehiltbar.com/#!menu/cenx	VEGAN CHEESECAKE
HOLE MOLE	1419 NE ALBERTA		https://lookaside.fbsbx.com/file/holy%20mole%20menu%20only.pdf?token=AWzGxeYm-SwwC5hsCeo1NJ_qFPbb3M0wGTFcp1S_bYtGU_gxRovEK4KYSXqLUQ9_w4ypvc133rX4djNEZmhG_1fsxZ-VKgoMmnzAwWYhgMdcaj1ws4QV-eett36b7vu_dDG8mHPU2JgSy5gD75aQbPiv	POSSIBLE VEGAN OPTIONS
HOMEGROWN SMOKER	4233 N MISSISSIPPI		http://www.homegrownsmoker.com/#!menus/cqj0	VEGAN FOOD CART
HOMEGROWN SMOKER			http://www.homegrownsmoker.com/#!menus/cqj0	VEGAN FOOD CART
				
HORN OF AFRICA	5237 NE Martin Luther King Jr Blvd		http://www.hornofafrica.net/menu.html	VEGAN OPTIONS
				
HOT LIPS	5440 NE 33RD		http://hotlipspizza.com/menu/	VEGAN OPTIONS
HUNGRY TIGER	213 SE 12TH		http://hungrytigerpdx.com/main-menu/	VEGAN OPTIONS
				
				
INDIA OVEN	3450 SE BELMONT		http://www.indiaovenportland.com/indiaovenmenu.html	VEGAN OPTIONS
IRON HORSE	6034 SE MILWAUKEE		http://www.portlandironhorse.com/Vegan_Menu.htm	SEPARATE VEGAN MENU
				
JACKKNIFE	614 SW 11TH		http://www.jackknifepdx.com	MOSTLY VEGAN
JADE TEAHOUSE	7912 SE 13TH		http://www.jadeportland.com/menu/	VEGAN OPTIONS
JAM ON HAWTHORNE	2239 SE HAWTHORNE		http://www.jamonhawthorne.com/food-menu.html	VEGAN OPTIONS
JOOK JOINT	530 SW 10TH		https://www.facebook.com/Jook-Joint-1689928654580136/menu/?p_ref=pa	VEGAN OPTIONS
JUNIORS CAFE	1742 SE 12TH		http://www.juniorscafepdx.com/menu/	VEGAN OPTIONS
JURASSIC	5205 SE FOSTER		https://www.facebook.com/jurassiccart/menu/?p_ref=pa	VEGAN OPTIONS
JUST BOB	2403 NE ALBERTA		http://www.justbobpdx.com/menu/	VEGAN OPTIONS
				
KALE	900 SW MORRISON		http://www.kalepdx.com/Menu.htm#.V7thkWOCzww	VEGAN OPTIONS
KARAM LEBANESE & SYRIAN 	515 SW 4TH		http://www.karamsrestaurant.com/dinner.html	VEGAN OPTIONS
KAY'S BAR	6903 SE MILWAUKEE		http://kaysbarpdx.com/portfolio/brunch-menu/	VEGAN OPTIONS
KHAO SAN	1425 NW FLANDERS		http://www.khaosanpdx.com/1003/Page.aspx	VEGAN OPTIONS
KILLINGSWORTH DYNASTY	832 N KILLINGSWORTH		http://www.killingsworthdynasty.com/menu.pdf	vegan bar
KING HARVEST FOOD	1502 SE MORRISON			
KIVA	1533 NW 24TH		http://media.wix.com/ugd/561a00_255c8b97f10e446fb92687bae01b9c6d.pdf	VEGAN OPTIONS
THE KNOCK BACK	2315 NE ALBERTA		http://www.theknockback.com/food-menu/	VEGAN OPTIONS
KNOCKOUT TACOS	505 NE KILLINGSWORTH		http://www.knockouttaco.com/#!menus/x01zj	VEGAN OPTIONS
KOI FUSION	3040 SE DIVISION		http://koifusionpdx.com/menu/	VEGAN OPTIONS
KURE JUICE BAR	408 SW 12TH		https://kurejuicebar.com/menu/	VEGAN OPTIONS
LA BONITA	2839 NE ALBERTA		http://www.labonitarestaurant.com/menu-2/	VEGAN OPTIONS
LA CAMEL	521 SW 9TH		http://www.lacamel.com/menu.html	VEGAN OPTIONS
LA TAQUERIA 	2839 NE ALBERTA			
LA VIDA VEGGIE	4925 SW ANGEL		http://www.lavidaveggie.com/menu.html	VEGAN RESTAURANT
LAS PRIMAS PERUVIAN	3971 N WILLIAMS		http://lasprimaskitchen.com/menu/	VEGAN OPTIONS
LAUGHING PLANET			http://laughingplanetcafe.com/menu/	VEGAN OPTIONS
LAUGHING PLANET			http://laughingplanetcafe.com/menu/	VEGAN OPTIONS
				
LAURELHURST THEATER	2735 E BURNSIDE		http://www.laurelhursttheater.com/menu.php	VEGAN OPTIONS
LE BISTRO	301 SE MORRISON		http://www.montageportland.com/dinner	VEGAN OPTIONS
LELA'S BISTRO 	1524 NE 23RD		https://locu.com/places/lelas-bistro-portland-us/#menu	VEGAN OPTIONS
LIBERTY GLASS BAR	938 N COOK		http://www.libertyglassbar.com/food/	VEGAN OPTIONS
LIVING WELL BISTRO	10000 SE MAIN		http://www.livingwellbistro.com/menu.html#lunch-dinner	VEGAN RESTAURANT
LONESOME PIZZA	350 W BURNSIDE		http://www.lonesomespizza.com/menu/	VEGAN OPTIONS
LOS GORDITOS	902 N KILLINGSWORTH		http://www.losgorditospdx.com/menu/vegan-menu/	VEGAN MENU
LOS TAQUITOS TAQUERIA	5832 NE GLISAN		http://www.menupix.com/menudirectory/menu.php?id=419003&type=3	POSSIBLE VEGAN OPTIONS
LOVEJOY BAKERS	939 NW 10TH			vegan desserts/chickapea sandwich
LOVING HUT	1239 SW JEFFERSON		http://lovinghut.us/portland_01/menu.html	VEGAN RESTAURANT
LOWBROW LOUNGE	1036 NW HOYT		https://lookaside.fbsbx.com/file/LowbrowMenuMay2015_2.pdf?token=AWw9RpBoJq42BuAjoYDfO2Lidr0G1HnRc2Qwi8bdkVwor32d5MqjhcTEudw_Ky40S7fW5irnggXxaQOtN_1Mv307gj9ELEuIPpHvIOU268iHyv0k8CqVkbb4mad31i9RdHXdA8-ahJBGFB3x1LXEliBz	VEGAN OPTIONS
LUC LAC	835 SW 2ND		http://luclackitchen.com	VEGAN OPTIONS
				
				
				
MAIPHAI THAI CUISINE	108 SW PINE		http://www.lunch.maiphai.net/mp_lm.pdf	VEGAN OPTIONS AVAILABLE UPON REQUEST
				
MAMA MIA TRATTORIA	439 SW 2ND		http://www.mamamiatrattoria.com/?openmenu=dinner-menu-2	VEGAN OPTIONS
MAMMA LEO'S CARIBEAN CUISINE	6728 NE SANDY		http://www.mamaleosrestaurant.com/#!menu/c21ei	VEGAN OPTIONS
				VEGAN OPTIONS
MARCO'S CAFE	7910 SW 35TH			
MARUKIN RAMEN	609 SE ANKENY		http://www.marukinramen.com/menu	POSSIBLE VEGAN OPTIONS
MASU SUSHI	406 SW 13TH			
				VEGAN OPTIONS
				VEGAN OPTIONS
MEDLEY TEA HOUSE	7881 SW CAPITOL HWY		http://www.medleytea.com/breakfast-menu/	VEGAN OPTIONS
				
				
				
				
				
MOBERI BLENDS	1515 NW 23RD		http://www.moberiblends.com	BEWARE OF HONEY
				
NAKHON	3354 SE HAWTHORNE		https://lookaside.fbsbx.com/file/NaKHON-19.pdf?token=AWyFfJc9oGmsnnMOTYKL_-n8nY29T0Be3A0Ga0k384G_jqnmh3QL7ik5UmuZpTOgq6qxuqVuqedOBWs0gSG8Mhc_iwR6-GVrtArOCRxgizAqexyHDSEeCVvIGYZzSzXhzJng-6lsBYBpcRTlD4F49_q2	VEGAN OPTIONS
NAMU	3423 SE BELMONT			
NATIVE BOWL	4200 N MISSISSIPPI		http://thenativebowl.com/menu.html	VEGAN FOOD CART
NAYAR TAQUERIA	5919 SE FOSTER		https://lookaside.fbsbx.com/file/NayarMenu%20%281%29.pdf?token=AWwfN61dI8zPFkJCaHEusdgTiokP0X67YQtuge2VL4J5dlgIbD-A1NIrlsCBhwAHqMxZ1s-HkqPnms5mmVXo6y5_XsW5S71jUmsXJbmr1E2O-SvA7HEQPo1L_BGy6d-nLv19rEpfM-8prgfi-cWlOney	VEGAN OPTIONS
NECTAR CAFE	1925 NE 42ND		http://nectarcoffeebar.com	VEGAN OPTIONS
				
NEUE SOUTHERN PDX	3121 SW MOODY		http://www.neuesouthernpdx.com/#!menu/c1ond	VEGAN MENU
				
				
NEW TASTE OF INDIA	6123 SW MACADAM		http://www.newtasteofindia.net/about.html	POSSIBLE VEGAN OPTIONS
NEW THAI BLUES	4147 SE DIVISION		http://www.newthaibluespdx.com	POSSIBLE VEGAN OPTIONS
NEXT LEVEL BURGER	4121 SE HAWTHORNE		http://www.nextlevelburger.com/menu-and-nutrition.html	VEGAN RESTAURANT
NICHOLAS LEBANESE 	3223 NE BROADWAY		http://nicholasrestaurant.com/tapas/	VEGAN OPTIONS
NIGHT LIGHT LOUNGE	2100 SE CLINTON		http://www.nightlightlounge.net/#menu-section	VEGAN OPTIONS
				
NOY VIET LEO	3530 SW MULTNOMAH		https://www.facebook.com/Noy-Viet-Lao-1522178588041679/menu	VEGAN OPTIONS AVAILABLE UPON REQUEST
NUDI	4310 SE WOODSTOCK		https://locu.com/places/nudi-noodle-place-portland-us/#menu	VEGAN OPTIONS
OASIS CAFE	3701 SE HAWTHORNE		https://www.facebook.com/Oasis-Cafe-136261279764911/menu/?p_ref=pa	VEGAN OPTIONS
THE OBSERVATORY	8115 SE STARK		http://www.theobservatorypdx.com/menus/brunch.pdf	VEGAN OPTIONS
				
OREGON PUBLIC HOUSE	700 NE DEKUM		http://oregonpublichouse.com/cms/userfiles/file/summer_2016/Oregon_Pub_House_Summer2016.pdf	VEGAN OPTIONS
PAMBICHE	2811 NE GLISAN		http://www.pambiche.com/dinner/	VEGAN OPTIONS
PAPA G'S VEGAN ORGANIC DELI	2314 SE DIVISION		http://www.papagees.com	VEGAN RESTAURANT
PAPER BAG PIZZA	2880 SE DIVISION			
PARADOX CAFE	3439 SE BELMONT		http://paradoxorganiccafe.com	MOSTLY VEGAN RESTAURANT
PB'S GRILLED	1207 SE HAWTHORNE			
PDX DONERLAND	625 NE KILLINGSWORTH		http://www.pdx-donerland.com/menu/	VEGAN OPTIONS
PEPPER TREE THAI	6555 SW BH HWY			
PETUNIA'S PIES AND PASTRIES	SE 12th ave	(503) 753-3693		
persian house	1026 SW MORRISON	(503) 753-3694		
PETUNIA'S PIES AND PASTRIES	610 SW 12TH	(503) 753-3695		
PHAT CART	420 SW COLLEGE	(503) 753-3696		
PHO GREEN PAPAYA	402 SE MARTIN LUTHER KING	(503) 753-3697		
PHO PASTEUR 	7330 NE FREMONT			
PIXIE RETREAT RAW'R LABORATORY	1610 SE 3RD	(503) 753-3700	MENU UNAVAILABLE	
PIZZA A GO GO 	3240 N WILLIAMS	(503) 753-3701	http://www.allmenus.com/or/portland/6510-pizza-a-go-go/menu/	
PIZZA FINO	8225 N DENVER	(503) 753-3702	http://www.finopdx.com/main-menu/	
PIZZA NOSTRA	4217 NE FREMONT	(503) 753-3703	http://www.portlandpizzadelivery.com/menu/veggie-pizzas/?phpMyAdmin=7a974bf572e2ff5826dc2a2516c990ce	
PIZZICATO	4831 NE FREMONT	(503) 753-3704	http://www.pizzicatopizza.com/wp-content/uploads/2014/06/Web-Menu-Current.pdf	
POK POK	3226 SE DIVISION	(503) 753-3705	http://pokpokpdx.com/main-menu/	
				
				
PORTOBELLO TRATTORIA	1125 SE DIVISION	(503) 753-3708		
POTATO CHAMPION	1207 SE HAWTHORNE	(503) 753-3709		
PRASAD 	925 NW DAVIS	(503) 753-3710		
		(503) 753-3711		
PROPER EATS MARKET AND CAFE	8638 N LOMBARD	(503) 753-3712		
PURE SIMPLE JUICE	1620 SE 3RD	(503) 753-3713		
PYRO PIZZA	1207 SE HAWTHORNE	(503) 753-3714		
QUARTERWORLD	4811 SE HAWTHORNE	(503) 753-3715		
QUEEN OF SHEBA	2413 NE MARTIN LUTHER KING	(503) 753-3716		
RABBITS CAFE	111 SW 5TH	(503) 753-3717		
RADIO ROOM	1101 NE ALBERTA	(503) 753-3718		
RAHEL'S ETHIOPIAN	10175 SE STARK	(503) 753-3719		
RAIN OR SHINE PDX	5941 SE Division St	(503) 753-3720		
RANDOM ORDER	1800 NE ALBERTA	(503) 753-3721		
				
				
				
				
ROBO TACO	607 SE MORRISON	(503) 753-3726	https://locu.com/places/robo-taco-portland-us/#menu	
RONTOM'S 	600 E BURNSIDE	(503) 753-3727	http://www.rontoms.net/menu-1/	
ROVENTE PIZZERIA	512 SW 4TH	(503) 753-3728	http://www.roventepizzeria.com/portland-pizza-menu/	
ROVENTE PIZZERIA	4327 N Williams Ave	(503) 753-3729	http://www.roventepizzeria.com/portland-pizza-menu/	
SANTERIA	703 SW ANKENY	(503) 753-3730	https://locu.com/places/santeria-portland-us/#menu	
SAUCEBOX	214 SW BROADWAY	(503) 753-3731	http://www.saucebox.com/dinner/	
SAVOR SOUP HOUSE	1003 SW ALDER	(503) 753-3732	https://locu.com/places/savor-soup-house-portland-us/#menu	
				
